,trial,state,Rwp,datetime_start,datetime_complete,Backgroundrefine,Backgroundtype,Instrument_parametersrefineZero,Mustrainrefine,Numberofcoefficients,Peakshape_parametersrefineSH/L,Peakshape_parametersrefineU,Peakshape_parametersrefineV,Peakshape_parametersrefineW,Peakshape_parametersrefineX,Peakshape_parametersrefineY,Phase_parametersrefinephase0,Sample_parametersrefineShift,Sample_parametersrefineSurfRoughA,Sample_parametersrefineSurfRoughB,system_attrs_number
0,0,TrialState.COMPLETE,11.143861970851585,2024-06-18 05:34:49.671553,2024-06-18 05:37:53.995808,True,cosine,False,True,2,False,False,True,False,True,True,False,False,False,True,0
1,1,TrialState.COMPLETE,43.1588753381733,2024-06-18 05:34:49.675320,2024-06-18 05:36:33.727777,False,cosine,False,True,10,False,False,True,False,False,False,False,True,False,False,1
2,2,TrialState.COMPLETE,74.72449875841737,2024-06-18 05:34:49.681216,2024-06-18 05:35:12.442488,False,Q^-2 power series,True,True,10,True,True,True,False,True,True,False,False,True,True,2
3,3,TrialState.COMPLETE,16.651946609473093,2024-06-18 05:34:49.681263,2024-06-18 05:59:12.089900,True,inv interpolate,False,True,1,True,True,False,False,True,True,True,True,False,True,3
4,4,TrialState.COMPLETE,74.84321821268065,2024-06-18 05:34:49.681457,2024-06-18 05:35:11.053461,False,inv interpolate,True,False,11,True,False,False,True,True,True,False,True,True,False,4
5,5,TrialState.COMPLETE,74.72449875841737,2024-06-18 05:34:49.681597,2024-06-18 05:35:14.579553,False,cosine,True,True,2,True,True,False,False,False,True,True,False,True,False,5
6,6,TrialState.COMPLETE,74.8434012769071,2024-06-18 05:34:49.686960,2024-06-18 05:35:12.166812,False,inv interpolate,True,False,12,True,False,False,False,True,False,True,True,True,True,6
7,7,TrialState.COMPLETE,1000000000.0,2024-06-18 05:34:49.687438,2024-06-18 05:36:10.204889,False,chebyschev,True,False,8,True,True,False,True,True,True,False,True,False,False,7
8,8,TrialState.COMPLETE,7.836682800502477,2024-06-18 05:34:49.687777,2024-06-18 05:38:42.700626,True,cosine,False,True,15,True,False,False,True,True,True,True,False,False,True,8
9,9,TrialState.COMPLETE,10.28804380519719,2024-06-18 05:34:49.687820,2024-06-18 05:40:47.595219,True,chebyschev,False,True,13,True,True,False,False,False,False,False,True,False,True,9
10,10,TrialState.COMPLETE,39.89254338002085,2024-06-18 05:35:11.061341,2024-06-18 05:36:26.547386,False,chebyschev,False,True,15,False,False,False,False,False,True,True,True,False,True,10
11,11,TrialState.COMPLETE,74.72449875841737,2024-06-18 05:35:12.172630,2024-06-18 05:35:32.067920,False,chebyschev,True,False,11,False,False,True,True,True,False,False,True,True,False,11
12,12,TrialState.COMPLETE,12.60466127611301,2024-06-18 05:35:12.456178,2024-06-18 05:36:05.036699,True,log interpolate,True,True,4,False,True,False,True,False,True,False,True,False,True,12
13,13,TrialState.COMPLETE,74.72449875841737,2024-06-18 05:35:14.586073,2024-06-18 05:35:34.262029,False,Q^-2 power series,True,True,15,False,False,False,False,False,False,False,False,True,True,13
14,14,TrialState.COMPLETE,75.04741403092338,2024-06-18 05:35:32.124479,2024-06-18 05:35:47.689042,False,Q^2 power series,False,False,15,True,False,True,True,True,False,False,False,True,True,14
15,15,TrialState.COMPLETE,1000000000.0,2024-06-18 05:35:34.311926,2024-06-18 05:36:40.259261,False,log interpolate,False,False,16,False,False,False,False,False,True,True,True,False,True,15
16,16,TrialState.COMPLETE,76.10829533361849,2024-06-18 05:35:47.696222,2024-06-18 05:36:06.977224,True,Q^2 power series,False,True,6,True,False,False,True,True,False,True,False,False,False,16
17,17,TrialState.COMPLETE,1000000000.0,2024-06-18 05:36:05.044084,2024-06-18 05:37:04.398499,False,chebyschev,False,False,16,False,False,False,False,True,False,False,False,False,False,17
18,18,TrialState.COMPLETE,1000000000.0,2024-06-18 05:36:06.982900,2024-06-18 05:37:23.826982,False,chebyschev,False,False,5,True,True,True,True,True,False,True,True,False,True,18
19,19,TrialState.COMPLETE,9.54110896406496,2024-06-18 05:36:10.214350,2024-06-18 05:37:08.993798,True,cosine,True,True,12,False,False,False,True,False,False,True,True,False,False,19
20,20,TrialState.COMPLETE,74.72449875841737,2024-06-18 05:36:26.563149,2024-06-18 05:36:42.505406,False,chebyschev,True,True,11,True,False,True,False,False,True,False,False,True,True,20
21,21,TrialState.COMPLETE,75.04741403092338,2024-06-18 05:36:33.739003,2024-06-18 05:36:49.683419,False,Q^-2 power series,False,False,16,True,False,False,False,True,True,True,False,True,False,21
22,22,TrialState.COMPLETE,1000000000.0,2024-06-18 05:36:40.268910,2024-06-18 05:38:13.740420,False,log interpolate,False,False,6,True,False,True,True,True,False,True,True,False,True,22
23,23,TrialState.COMPLETE,76.10825109076723,2024-06-18 05:36:42.557657,2024-06-18 05:36:49.654176,True,inv interpolate,True,False,8,True,True,True,False,True,False,True,True,False,False,23
24,24,TrialState.COMPLETE,76.10825109076723,2024-06-18 05:36:49.663768,2024-06-18 05:36:56.335260,True,inv interpolate,True,True,5,True,True,False,True,False,False,True,False,True,True,24
25,25,TrialState.COMPLETE,75.16209691335197,2024-06-18 05:36:49.709063,2024-06-18 05:37:03.814557,False,log interpolate,False,True,8,False,True,True,True,True,True,True,True,True,False,25
26,26,TrialState.COMPLETE,29.586328343364503,2024-06-18 05:36:56.355343,2024-06-18 05:37:13.216286,True,cosine,False,False,13,True,True,False,False,False,True,True,True,True,False,26
27,27,TrialState.COMPLETE,9.80454396566788,2024-06-18 05:37:03.832299,2024-06-18 05:38:26.254818,True,chebyschev,True,False,16,True,False,True,False,True,False,True,True,False,False,27
28,28,TrialState.COMPLETE,76.10825109076723,2024-06-18 05:37:04.410705,2024-06-18 05:37:13.076602,True,inv interpolate,True,True,12,False,False,False,False,True,False,True,False,False,False,28
29,29,TrialState.COMPLETE,17.287572653834232,2024-06-18 05:37:09.019872,2024-06-18 05:38:03.637001,True,cosine,True,True,1,False,True,False,True,False,True,True,True,False,True,29
30,30,TrialState.COMPLETE,17.42262458481263,2024-06-18 05:37:13.090802,2024-06-18 05:38:14.756824,True,cosine,False,True,1,False,True,False,True,False,True,True,True,False,False,30
31,31,TrialState.COMPLETE,1000000000.0,2024-06-18 05:37:13.243142,2024-06-18 05:38:30.934837,True,cosine,True,True,2,False,True,False,True,False,True,True,True,False,False,31
32,32,TrialState.COMPLETE,1000000000.0,2024-06-18 05:37:23.842844,2024-06-18 05:38:40.347057,True,cosine,True,True,2,False,True,False,True,False,True,True,True,False,False,32
33,33,TrialState.COMPLETE,17.25419590532218,2024-06-18 05:37:54.009746,2024-06-18 05:38:45.801190,True,cosine,True,True,1,False,True,True,True,False,True,False,True,False,True,33
34,34,TrialState.COMPLETE,12.250002739188067,2024-06-18 05:38:03.675842,2024-06-18 05:39:02.164997,True,log interpolate,True,True,3,False,False,True,True,False,True,False,True,False,True,34
35,35,TrialState.COMPLETE,12.170753740939421,2024-06-18 05:38:13.762157,2024-06-18 05:39:22.804006,True,cosine,True,True,3,False,True,False,True,False,True,False,True,False,True,35
36,36,TrialState.COMPLETE,10.516659868585524,2024-06-18 05:38:14.785482,2024-06-18 05:39:16.650712,True,cosine,True,True,3,False,False,True,True,False,True,False,True,False,True,36
37,37,TrialState.COMPLETE,11.400568787399848,2024-06-18 05:38:26.270766,2024-06-18 05:39:34.088283,True,cosine,True,True,14,False,False,True,False,True,False,True,True,False,False,37
38,38,TrialState.COMPLETE,11.400568787399848,2024-06-18 05:38:30.960656,2024-06-18 05:39:38.910375,True,cosine,True,True,14,False,False,True,False,True,False,False,True,False,False,38
39,39,TrialState.COMPLETE,10.692233389934009,2024-06-18 05:38:40.362316,2024-06-18 05:39:43.911549,True,cosine,True,True,14,False,False,True,False,True,False,False,False,False,False,39
40,40,TrialState.COMPLETE,9.251750853285541,2024-06-18 05:38:42.769895,2024-06-18 05:39:43.434210,True,cosine,False,True,14,False,False,True,False,True,False,True,False,False,True,40
41,41,TrialState.COMPLETE,9.251750853285541,2024-06-18 05:38:45.820881,2024-06-18 05:39:54.067775,True,cosine,False,True,14,False,False,True,False,True,False,True,False,False,True,41
42,42,TrialState.COMPLETE,9.11172481162093,2024-06-18 05:39:02.214944,2024-06-18 05:40:12.536473,True,cosine,False,True,14,True,False,True,False,True,False,True,False,False,True,42
